ins_833	1936 yılında değiliz.	1936 yılındayız.
news_1843	Yayımı geçen Mayıs ayında Halep'te Burhan Ali ve Hacı Afrani adlı parti üyeleri PKK saldırısı sonucu ağır yaralandı, yine Halep'te geçen ay Kâmuran Muhammed ve Kemal Şahin adlı üyeler de suikast kurbanı gitmişti.	Yayımlanan bildiride, geçen mayıs ayında Halep'te Burhan Ali ve Hacı Afrani adlı parti üyelerinin PKK saldırılarında ağır yaralandığı, yine Halep'te geçen ay Kamuran Muhammed ve Kemal Şahin adlı üyelerin de suikasta kurban gittiği öne sürüldü.
ess_389	Fakat 2002 yılında Chavez'nin nazarı değerken, ABD kışkırttığı subaylar tarafından darbe inin tutuklandığı anlaşıldı.	Fakat 2002'de Chavez'e nazar değmiş, ABD'nin kışkırttığı subaylar tarafından darbeyle indirilip tutuklanmıştır.
pop_920	Marketteki bir kadın, san söyle kişi eşiyle Türk ve Zibin'leymiş!	Marketteki bir kadın (sanırım söylediği kişi eşiydi, Türk'tü ve adı Zibin'di!)
pop_541	Sokak yüzü, su katı bir Anadolu kasabası...	Sokaklarsa, su katılmamış bir Anadolu kasabası...
news_1842	Cumhurbaşkanlığı seçimine ilişkin iki tur oylama bugün yapılacak.	Cumhurbaşkanlığı seçimine ilişkin ikinci tur oylama bugün yapılacak.
ins_947	Sel sunda mı yoktu ki...	Sel sularında neler yoktu ki...
ess_122	Umutsuzluk iç acı çeken bir kadın, önce senin sesinde uyan, sigara dumanı kemiriyor havayı.	Umutsuzluk içinde acı çeken bir kadın, önce senin sesinle uyanıyor sigara dumanları kemirirken havayı.
bio_533	Sağ ol Fatoş ab ve Özlem kocakarı ilaçlarıyla imdat yetiş.	Sağ olsun Fatoş Abla ve Özlem'in kocakarı ilaçları imdadıma yetişiyor.
ins_565	Temiz bir toplum içinde başka daha huzur ve güven içeri yaşamayı sağlayabiliriz.	Temizlik, toplum içinde başkalarıyla daha huzurlu ve güven içerisinde yaşamamızı sağlar.
pop_592	3-4 Nisan 2021'de, maydanoz dalı satın aldım.	3-4 dal maydanoz
bio_1500	Bütün bu yetmeyen gibi biz cesaret ver iste Meral zaman zaman duy zoraki tek kahkaha, on beş bin kişi iç biz uzay gel bir ses kadar garip gel ve zaten laçka ol sinir büsbütün gevşe oyun gereksiz kahkaha at neden oldu.	Bütün bunlar yetmezmiş gibi bize cesaret vermek isteyen Meral'in zaman zaman duyulan zoraki tek kahkahası, on beş bin kişinin içinden bize uzaydan gelen bir ses kadar garip geliyor ve zaten laçka olmuş sinirlerimizi büsbütün gevşeterek oyunda gereksiz kahkahalar atmamıza neden oluyordu.
news_996	Willett'in 2 diyabetli insanda insülin direnci orta çıkıyor, dikkat çek.	Willett Tip 2 diyabetin görülmediği insanlarda insülin direncinin ortaya çıkabileceğine dikkat çekiyor.
ess_1822	Hayvanseverler, siz sesleniyorum.	Hayvanseverler, size sesleniyorum.
bio_784	İki perde açıldı ve üçüncü mevsim başarılı geçti.	İkinin Biri engelleri aşarak perdesini açmış ve üçüncü mevsimimizin de başarılı geçeceğini belli etmişti.
bio_349	San hadi gel, değil mi? De, elbette böyle yap.	Sana hadi gel, diyecek değiller ya, elbette böyle yapacaklar.
bio_589	Bu isyanlı kızın çocukları, şırfıntılık yapan adam olmasınlar diye suçlandı ve yerli-yersiz evden kovuldukları için aile dayanışma dışı bırakıldılar, korktukları başlarına geldi.	Buna isyan eden kız çocukları şırfıntılık; erkek çocukları da adam olmamakla suçlanır ve yerli yersiz evden kovularak aile dayanışmasının dışında bırakılmakla korkutulurlardı.
bio_179	yan oda ki biz gazeteci, baş konuk ya iki ya da en fazla üç dakika sonra başladık yemeğe.	Yan odadaki biz gazeteciler, baş konuktan ya iki ya da en fazla üç dakika sonra başladık yemeğimize.
pop_755	Ortaköy'tophaneye git, sohbet et ve nargile içeriydik.	Ortaköy'e ya da Tophane'ye gider, sohbet eder ve nargile içerdik.
ins_881	Zaman yün kazanını dol.	Zamanı gelince yünleri kazana doldurur.
bio_396	Düşün köy çocukları "Ahmet amca gel" diye sevin.	Düşünün köylerde çocuklar "Ahmet Amca geliyor" diye seviniyorlar.
bio_1325	İşte tehlikeli bir boyut kazandı.	İş tehlikeli bir boyut kazanıyordu.
bio_787	Asansör kapısını açtı ve tam o sırada asansörün içinde mi, kıyıda mı, orada bir yer mi, başbakanın ayaklarına doğru bir sıçan fırladı.	Asansörün kapısını açtılar ve tam o sırada asansörün içinden mi, kıyısından mı, oralardan bir yerden, başbakanın ayaklarına doğru bir sıçan fırladı.
bio_1802	Aziz, deli gibi çalışkan, güçlü ve kuvvetli, pes edemeyecek bir cins.	Aziz, deli gibi çalışkan, güçlü kuvvetli , pes etmeyen cinsten.
ins_759	Hem bu yapmayı o kadar zor değil. "De yapmış."	Hem bunu yapmak o kadar zor değil." dedi.
ess_372	1950 İstanbul'da kimsesiz bir öğrenciyiz.	1950'lerde İstanbul'da kimsesiz bir öğrenciyim.
pop_1870	İntihar, umutsuzluk ifade ettiği saldırı sözcüğüyle birlikte karabasan dönüşü kavramını çağrıştırıyor...	İntihar, başlı başına umutsuzluğu ifade ederken, yanına eklenen "saldırı" sözcüğü karabasana dönüştürür kavramı...
pop_1624	3-4 adet ahududu.	3-4 adet ahududu
pop_714	Doktor yoklayıp baktı:	Doktor yoklayıp baktı:
pop_652	Onları hep suyu konuşur.	Onları sularken hep konuşurum.
bio_310	Çocuklukta hangi daha önceki tedirginliğim içinde ip izlerini izlediğim cambazlıkları mı bak?	Çocukluğumda, bakalım hangisi daha önce ipten düşecek tedirginliği içinde izlerdim bu cambazlıkları.
ess_1320	Bu zeki ve dindar işçi, parmakları dudaklarında "sus!" işareti vererek, sonra bana şöyle karşılık verdi: "Mutluluk arasında kendi mi duruyor?" Müzik aleti göz önünde al.	Bu zeki ve dindar işçimiz, parmağını dudağına bastırarak "sus!" işareti verdikten sonra bana şöyle karşılık verdi: Mutlulukla aramızda kendimiz mi duruyoruz? Müzik aletlerini göz önüne alalım.
news_569	Güvenlik mahkemesinin tarafından toplatılan bilgileri öğrendik.	Güvenlik Mahkemesi tarafından toplatıldığını öğrendik.
bio_1779	Akşam Jan bey uğradı, ben "doktor bayağı İngilizce konuştu," dedim.	Akşam Jan Bey uğradığında bana, "Doktorla bayağı İngilizce konuştun" dedi.
news_1669	Hatay İskenderun ilçesinde yaşayan aile, Gezmen'in çalıştığı firma tarafından Irak'ta yapılacak iş sonrası açıklama yapıldıktan sonra umutlarının arttığını söyledi.	Hatay'ın İskenderun ilçesinde yaşayan aile, Gezmen'in çalıştığı firmanın Irak'ta iş yapmayacağını açıklamasının ardından umutlarının arttığını söyledi.
pop_1818	Ben Zeki değil, Ekrem'im.	Ben Zeki değil, Ekrem'im."
bio_603	Toprak ak saatlerce sürdü.	Toprağın akması saatlerce sürdü.
ess_791	"Ayna" adlı pop grup, 23.	"Ayna" adlı pop grubunun, 23
ins_61	Cumhuriyet yerinde oturmayan yetenekli çocukları Avrupa'ya sanat eğitimi için gönderdi.	Cumhuriyet yerine oturur oturmaz, yurdun yetenekli çocuklarını Avrupa'ya sanat eğitimine göndermiştir.
pop_143	1 çay kaşığı ketçap.	1 çay kaşığı ketçap
pop_497	ertesi sabah hala, gelmiş yerini bulmuş çalışıyordu.	Ertesi sabah hala, geldiğim yeri bulmaya çalışıyordu:
ess_1363	Oyunları yazdın.	Oyunlar yazdınız.
bio_1721	Bilgin'in ailesine tüm teşekkürleri etmek gerekiyor.	Demek ki Bilgin ailesinin tümüne teşekkür etmem gerekiyor.
bio_1101	İleri geri ritim hareket yap.	İleri geri ritmi hareketler yapıyor.
ess_348	Dünya'nın birçok ülkesinde, geleneksel komünist partiler yok olurken, bir yanında sosyal demokrat partiler tümüyle neoliberalizmi benimsemiş olup, diğer yanında ise boşluğu doldurmak amacıyla partiler yaratılmaktadır.	Dünyanın birçok ülkesinde, bir yandan geleneksel komünist partilerin yok olması, bir yandan sosyal demokrat partilerin tümüyle neoliberalizmi benimsemiş olmaları sonucunda ortaya çıkan boşluğu doldurmayı amaçlayan partiler yaratılıyor.
ess_1890	Benim ki cam kırıldı.	Benimkinin camı kırıldı.
bio_443	"Önemli ve gizli."	"Önemli ve gizli.
pop_60	İyi git, serinlikte!	- İyi ya, serinlikte giderim!
ins_964	10 el Fener.	10. El feneri
bio_128	On gün ev sahibi arıyoruz.	On gündür ev sahibi arıyor.
news_691	Ayrıca, çalışma desteklerini istediği katkıları değerlendirerek, "Troya sev dernek" gibi bir gönüllü kuruluşun oluştuğunu açıkladı.	Ayrıca, çalışmaları desteklemek isteyenlerin katkılarını değerlendirmek üzere "Troya'yı Sevenler Derneği" gibi bir gönüllüler kuruluşu oluşturuldu.
bio_648	Gitmem gerekiyordu, ama kalmak istedim.	Gitmem gerektiğini, ama kalmak istediğimi biliyordu.
news_1839	Rusya, Azerbaycan, Kazakistan, Bulgaristan, Makedonya ve Kırgızistan 6 ülke Ramstore zincirinin faaliyet gösterdiği ülkeler arasındadır.	Rusya, Azerbaycan, Kazakistan, Bulgaristan, Makedonya ve Kırgızistan'da 6 ülkede faaliyet gösteren Ramstore zincirinin 77.
news_346	Nüfus cüzdanı, pasaport, ehliyet gibi değerli kağıt için vatandaşın cep çıkardığı para için yeni yılın 6.3 ile 8.3 arası artacağı söyleniyor.	Nüfus cüzdanı, pasaport, ehliyet gibi değerli kağıtlar için vatandaşın cebinden çıkan parada da yeni yılda yüzde 6.3 ile 8.3 arasında artış olacak.
bio_8	Onun şikayetleri var.	Onların da şikâyetleri vardı:
pop_1455	Telefon vızır vızır çalış, akraba, dost ve arkadaş arasında yılbaşı kutlamaları yap.	Telefonlar vızır vızır çalışıyor, akrabalar, dost ve arkadaşlar arasında yılbaşı kutlamaları yapılıyor,
news_801	Hüseyin, Mirsad, Mehmet ve Asım Avrupa'nın en iyi savunma ekibidir.	Hüseyin, Mirsad, Mehmet ve Asım ekibi Avrupa'nın en iyi savunma ekibi.
bio_755	Dokuz kişilik sevk mahkumu iç, üç kişi defalarca sevk geçti ol için, kaza cezaevi zorluk iyi bil, y.	Dokuz kişilik sevk mahkumları içinde, üç kişi defalarca sevk geçirmiş olduğu için, kaza cezaevlerinin zorluğunu iyi biliyordu.
news_839	Gerçi OHAL çerçevesinde bu 3 kısa süreli yasak getirildi, ancak şu an hariç hepsi yayında.	Gerçi OHAL çerçevesinde bunlardan 3'üne kısa süre yasak getirilmiş, ancak şu anda biri hariç hepsi yayındalar.
ins_1994	Sonunda bir parça kömürleşmiş iplik elde ettik.	Sonunda bir parça kömürleşmiş iplik elde ettik.
pop_1685	Kendi söylemesi asla anlaşılmaz. Bu da ayrı konu.	Kendi söylemese asla anlamazdım, bunu o da ayrı konu.
pop_1644	Bu çiçek aşısının bakımı ilk olarak o ismin akıl gelince yapılmaktadır; aşıyı ilk olarak o bulduğunu zannetmektedir.	Bu bakımdan çiçek aşısı deyince ilk olarak onun ismi akla gelmekte; aşıyı ilk olarak O'nun bulduğu zannedilmektedir.
bio_1524	Özellikle eğitimsiz, kendi çıkarını bilmediği gibi, başkalarının da çıkarını bilemez; gözükse de, ya da bilse de, bu durağan toplum hareket geçmek için şiddetli bir deprem gerektirir.	Özellikle eğitimsiz, kendi çıkarını bilmeyen ya da bilir gözükmeyen bu durağan toplumu harekete geçirmek için şiddetli bir deprem gerekecekti.
bio_991	Çocuk kararlıydı.	Çocuk kararlıydı.
news_1475	Yeni nesil "Mouse".	Yeni nesil "mouse"
ess_155	Her ne kadar burçlara birebir inanmasam da bazı burç özellikleri de benim için önemli bir referans noktasıdır.	Her ne kadar burçlara inanmasam da burcumun bazı özelliklerini birebir yansıtmaktayım.
bio_582	Bu söz anne için o kadar önemliydi ki ben her zaman bu sözü söylerdim.	Bu söz annem için o kadar önemli olmuştu ki bana her zaman bunu söylerdi.
bio_546	Deniz Baykal, Cahit Kayra, Mustafa Ok, Erol Çevikçe, ayrıca doçent Özsan Uluatam ve Üstün Üstün var.	Deniz Baykal, Cahit Kayra, Mustafa Ok, Erol Çevikçe ayrıca Doçent Özsan Uluatam ve Üstün Üstün var.
bio_386	Babamı camiye götürmedik.	Babamı camiye götürmeyecektik.
news_1049	Çünkü olgu yorum birbirine karış.	Çünkü olguyla yorumu birbirine karıştırıyorlar.
pop_1960	Salatanın göbeklerinden dış yaprakları çıkarın, atın.	Salata göbeklerinin dış yapraklarını çıkartıp atın.
bio_13	Burhan felek, "Sinop'ta nasıl sür?" yazının ilk durağı Bekir ağa olmuş, şöyle anlat:	Burhan Felek, "Sinop'a Nasıl Sürüldüm?" yazısında ilk durağının Bekir Ağa olduğunu şöyle anlatır:
news_1904	Tamam, şu an 27 yaşındayım, her şeyi hayal edebilirim.	Tamam, şu anda 27 yaşındayım, her şeyi hayal edebilirim.
ess_397	Demek, geçmiş, geçmiş de kaybolmuş bir sınır var.	Demek, geçmişin, geçmişimizin de kaybolmuş bir sınırı var.
ess_1773	Bunca işim arasında benim yazdığım konu pek de itibar etmiyorlar, düşünydüğüm doğru.	Bunca işleri arasında benim yazdığım konuya pek de itibar etmeyeceğini de düşünmüştüm doğrusu.
pop_1889	Biri sevince öteki sevinmiyor, mümkün değil.	Birinin sevindiğine ötekinin sevinmesi mümkün değildir.
pop_1276	Servis tabağındaki püreyi düzgün şekilde ver orta aç.	Servis tabağına püreyi alıp, düzgün şekiller vererek ortasını açın.
ess_801	Clay iflas ettiği evi el koymuş, böyle bir şey yapmamalı, "futbol izleyeceğim zaman kısıtlandım çünkü karım sık" dedi.	Clay iflas ettirip eve el koydu, o evde asla böyle bir şey yapmam. " Futbol seyredeceği zamanlar kısıtlanmıştır çünkü karısı sıkılır.
pop_1645	Bu gerçekleştiği yıl el haritasının altında ve üstünde bölüm ki gezegen yoğunluk bak yeterli olacak.	Bunu gerçekleştirirken de elimizde haritanın alt ve üst bölümlerindeki gezegen yoğunluklarına bakmamız yeterli olacaktır.
pop_1662	Ama şimdi söyle, işte.	Ama şimdi söylüyorum işte.
bio_1702	Devam eden oyuna sonra devam ettiler.	Sonra oyuna devam edildi.
ins_1837	Hiç merak etmedin mi neden zevk alınacak şey farklı? Bir kolay gel ders, neden başka korkulu rüya?	Hiç merak ettiniz mi neden zevk aldığımız şeyler farklıdır? Birimize kolay gelen ders, neden bir başkasının korkulu rüyasıdır?
bio_1187	Zifiri karanlık, hiçbir şey görmezsin.	Zifiri karanlık, hiçbir şey görünmüyor.
ins_1097	"Atatürk'ün tema, cumhuriyet kurucu büyük önder Atatürk daha yakın tanıyacağımız zamandadır."	"Atatürk" temasında, cumhuriyetimizin kurucusu büyük önderimiz Atatürk'ü daha yakından tanıyacağız.
pop_1058	ihtiyar berber, yoksul geçen son yıl öyle bir bahşiş al için birkaç baston darbe hazır ol ima et, gerdan kır "nere o eski Müşteri!"	İhtiyar berber, yoksul geçen son yıllarında öyle bir bahşişi alabilmek için birkaç baston darbesine hazır olduğunu ima ederek, gerdan kırar "Nerede o eski müşteriler!" derdi.
bio_1437	(Bu) birkaçı ileri (yerde) rastlayacağım.	(Bunlardan birkaçına ilerde rastlayacağım.
news_1599	Ama bu gündemi getirmeyin.	Ama bunları gündeme getirmiyoruz.
bio_191	Gençler yalnız başlarına sağ-sol yoketmeye gitmekten korkarlar.	Gençlerin yalnız başlarına, sağda solda yokedilip gitmesinden korkuyorum.
bio_551	Şu alışveriş hastalığı birazcık ol "son" ver becer...	Şu "alış-veriş hastalığına" birazcık olsun "son" vermeyi becerebilsek...
ess_48	Biz tarihin hürriyet her zaman en yüksek seviyesindeyiz; dini yapı yüksek oldu, dönem dahil.	Bizim tarihimizde hürriyetler her zaman en yüksek seviyede olmuştur; dini yapının yüksek olduğu dönemler dâhil.
pop_353	Çocuklar, tetanos aşılarını olun. Allah sizi korusun, camlar batar, teller keser, yıldırım düşer!..	"Çocuklar tetanos aşınızı olun, Allah korusun cam batar, tel keser, yıldırım düşer!.."
bio_1271	Benim saklambaç oyununu hiçbir zaman oynamadığım.	Ben saklambaç oyunu oynandığı zaman hiçbir zaman ebelenmezdim.
pop_39	Bu arada şunu da söyle ki, chatci sıklıkla kullandığı bir "klavye delikanlısı" var.	Bu arada şunu da söylemeliyim ki, chatcilerin sıklıkla kullandığı bir "klavye delikanlısı" tabiri vardır.
pop_124	Genellikle kararlı, sessiz, sabırlı, ilişki kurmayı kolay biri.	Genellikle kararlı, sessiz, sabırlı, ilişki kurulması kolay birisiniz.
ins_1589	"Akaretler'de taşın beni, sizi alıncaya kadar orada kal."	"Akaretler'e taşınırsınız, ben sizi aldırıncaya kadar orada kalırsınız."
pop_174	750 gr yoğurt.	750 gr. yoğurt
news_934	Vur yanlışı yaptık.	Vuruş yanlışları yaptık.
ins_1773	Çöl, çok az yağış alarak kurak alanıdır.	Çöller, çok az yağış alan kurak alanlardır.
ess_719	Çağdaş müşrik, selefi yarışta geçti bu.	Çağdaş müşrikler, seleflerini geçtiler bu yarışta.
news_1972	Ben yapım çalışması için her zaman daha fazla isteyeceğim.	Ben yaptırdığım çalışmalarda her zaman için sizden daha fazlasını isteyeceğim.
ess_481	Bazı çok güzel anneler, bu yüzden hayalet dönüşüyor.	Bazı çok güzel anneler, bu yüzden hayalete dönüşürler.
pop_489	Gerekli değil, saldırganlık, mücadeleci yapı ortaya koymak istemiyoruz.	Gerekli olmadıkça, saldırganlıklarını, mücadeleci yapılarını ortaya koymak istemezler.
pop_223	Baba, o şunu söyleydi: "Ben kızı balığa alırım ama bu aileyi vermem." Anne kız kardeşini Antakya'da yaşayan teyzeye gönderdi.	Babam onlara şunu söylemişti: "Ben kızımı balığa yem yaparım da bu aileye vermem." Annem kız kardeşimi Antakya'da yaşayan teyzeme gönderdi.
ins_53	Nüfuz kabiliyeti çok yüksek, çok lezzetli, derin girme veya hafif olma.	Nüfuz kabiliyetleri varsa çoktur, delicidir, derinliklere girebilir veya hafiftir.
pop_184	Bu yüzyılın başında, bu köprüde, özellikle iki kesim arasında bir ayrım ki tescil belgesi gibi bir şey olmadığından, uçurumun aşılmazlığı kanıtlanmıştır.	Bu yüzden, bizzat bu köprünün varlığı, iki kesim arasındaki ayrımın bir tür tescili, uçurumun aşılmazlığının kanıtı yerine geçiyor.
bio_1845	Genç, diri vücutlarıyla melek gibi yarışıyor...	Genç, diri vücudu meleklerle yarışıyor gibi...
ins_19	Hiç harika bir öykünün sonunda, gel de birlikte onca serüveni yaşa, sev hayran ol, ad kaygılan umutlan, kahramanlara vedayı zor kal ve onlarsız hayatını boş ve anlamsız gör. İçin açıkça ya da gizlice acı gözyaşı dök biri...	Hiç harika bir öykünün sonuna gelip de birlikte onca serüven yaşadığı, sevip hayran olduğu, adlarına kaygılanıp umutlandığı kahramanlara veda etmek zorunda kaldığı ve onlarsız hayat kendisine boş ve anlamsız göründüğü için açıkça ya da gizlice acı gözyaşları dökmemiş biri...
news_1665	Hakim Cihan Oskay'a 5 bin YTL manevi tazminat cezası ver, para Yücel Uyar'a öde.	Hakim, Cihan Oskay'a 5 bin YTL manevi tazminat cezası vererek, paranın Yücel Uyar'a ödenmesine hükmetti.
ins_828	Genç Göktürkler keskin karar verdik yaptı.	Genç Göktürkler kesin karar vermişlerdi.
news_128	Hareket nasıl gelişti, Türk toplumu nasıl damgalanıyor ya da damgalandı, Türk toplumu ki faşizmden geçti, Kemalist hareketiyle Moskova'daki Marksist hareketi arasındaki girinti çıkıntı anlatılırken, gerçek ve doğru kişiler için kitap kurulurken, ben daha güzel geldim.	Hareketin nasıl geliştiğini, Türk toplumunu nasıl damgaladığı ya da damgalayamadığını, Türk toplumundaki faşizme geçişi, Kemalist hareketle Moskova'daki Marksist hareket arasındaki girintileri çıkıntıları anlatmak için kitabı gerçek, doğru kişilerle kurmak bana daha güzel geldi.
bio_20	Anne akşam işten geldi.	Annem akşam işten geldi.
ins_42	Dede, Atatürk döneminde yaşadı.	Dedem, Atatürk döneminde yaşamış.
bio_581	Bazı Sovyet filmleri de Amerikan filmleri kadar başarılı düzeydedir.	Bazı Sovyet filmleri de Amerikan filmleri düzeyinde.
news_384	Bu tartışmanın yaşandığı toplantı, sırasıyla Ecevit ve Meclis'in grup toplantılarından sonra rektörlerin istekleri doğrultusunda haklı bulunup, bugün kamuoyuna açıklanacak şekilde çalışıldı.	Toplantıda bu tartışmaların yaşandığı sırada Ecevit, Meclis'teki grup toplantısında rektörlerin isteklerini haklı bulduğunu ve bu konuda yaptıkları çalışmaları bugün kamuoyuna açıklayacaklarını söyledi.
ins_395	Her defa cümle bir kâğıt yazarak dışarı çıktı.	Her defasında cümleyi bir kâğıda yazıp dışarı çıkıyordu.
bio_1404	Yanlış bir benzetme, belki ama, kol kanat kırdı.	Yanlış bir benzetme belki ama, kolum kanadım kırıldı.
ins_889	Bütün işin başlangıç çetin mücadelelerle doludur.	Bütün işlerin başlangıcı çetin mücadelelerle doludur.
news_206	Suriye, bu açılım programının dahil olduğu geniş çaplı silah stokları bulunan İsrail de silahsızlanması gerektiğine dikkat çekti.	Suriye, bu açılımdan memnuniyet duyarken, nükleer silah programı dahil geniş çaplı silah stokları bulunan İsrail'in de silahsızlanması gerektiğine dikkat çekmişti.
pop_138	Alan çok farklı.	Alanları çok farklı.
ins_621	Babamın dilinden düş deyimi biri de "iyi ol" para değil.	Babamın dilinden düşürmediği deyimlerden birisi de "İyi olmak parayla değildir.
ess_1344	Verdiği konserlerde insanlara pozitif enerji veren sanatçı sahnede kendi sanatını ve yaşattığı ambiansıyla örnek alınırken, bugün kü sanat tarafından da örnek alınan bir isim.	Verdiği konserlerde insanlara verdiği pozitif enerji sahneyi kullanma sanatı ve yaşattığı anbians bugünkü sanatçılar tarafından örnek alınmaktadır.
ins_948	Allah iyilik versin! Sen kafayı orada yetiştir.	- Allah iyiliğini versin! Desene oğlun da senin kafanda yetişiyor.
pop_990	1 yemek kaşığı sıvı yağ tava içinde kızartın.	1 yemek kaşığı sıvı yağı tavada kızdırıp, orta hararetteki ateşte şişleri kızartın.
ins_686	"Eski Masal" adlı şair ne anlatmak istiyor? Defterlerle yazın.	* Şair "eskiyen masallar" sözü ile ne anlatmak istiyor? Defterinize yazınız.
ess_927	( Yeterince düzgün olmadı da uyguladık.	(Yeterince düzgün olmasa da uygulamışlar.
ess_775	Elbette değiliz ya!	Elbette değiller ya!..
ess_303	Siz biri değilsiniz.	Onlar sizden biri değil.
ess_1950	zaman zaman kavganın dönüşü, pasaport üzeriydi.	Zaman zaman kavgaya dönüşen tartışma, pasaportum üzerineydi.
news_421	Bu tip yasaklar Türkiye'de bir yerde gitmek mümkün değil.	Bu tip yasaklarla Türkiye'nin bir yere gitmesi mümkün değildir.
pop_676	Ben biraz gülüyorum mu?	Bana biraz güler misin
news_1316	İddianame'deki gerekçe.	İddianamedeki gerekçeler
bio_1823	Artık üniversitede benim kadrom bulunmuyordu, bile takip etmediğimiz bir konuda yalan söylediğimi iddia ettiler.	Artık üniversitede bana kadro bulunup bulunmadığını bile takip etmiyordum.
news_803	Bu seçim İnan Kıraç ve Selâhattin Beyazıt birlikte hareket edecek.	Bu seçimde İnan Kıraç ve Selahattin Beyazıt'la birlikte hareket edeceğim."
ins_1841	Beyaz bir ay doğar, fıstık arkasından.	Beyaz bir ay doğuyor fıstıkların arkasından
bio_1123	Salih Işık, Kayseri Sarız ilçesi Yalak köyündeydi.	Salih Işık, Kayseri Sarız ilçesi Yalak köyündendi.
bio_1746	Geniş çevre yaratıldı.	Çevresi genişti anlaşılan.
bio_1439	Bu yıl 8.	Ada bu yıl 8.
bio_115	Sen yanında, torun yanında, kontrol temiz çıktı, hafta ailece Altonoluk'a git, yüz, taze balık, sebze ye.	Sen yanımdasın, torunum yanımda, kontrollerim temiz çıktı, haftaya ailece Altonoluk'a gideceğiz, yüzeceğiz, taze balıklar, sebzeler yiyeceğiz.
ess_156	O zirveye ulaştıktan sonra, dağının başka hiçbir yerinde artık o tatmini etmiyor.	O zirveye ulaştıktan sonra, dağın başka hiçbir yeri artık onları tatmin etmez.
pop_1786	20 adet iç fındık (veya iç badem).	20 adet iç fındık (veya iç badem)
ess_297	Dersi aldık, edebi hazları tatmış romanları okuduk çok.	Ders aldığımız, edebi hazlar tattığımız romanlar okuduk çok.
ess_24	Git, ye iç, yer, yaz tercih ettiğim bir şey değil.	Gittiğim, yediğim içtiğim yerleri yazmak tercih ettiğim bir şey değil.
ins_967	Ben sanatçıyım.	Ben sanatçıyım.
ess_784	Büyükayı'nın tüm yıldızları sizin gözlerinizde kırpıldı!	- Büyükayı'nın tüm yıldızlarıyla size göz kırpıp durduğunu!
ess_1592	Sen çalışıyorsunuz. "De" yapmıştı.	Sen çalışansın," dedi.
pop_1288	Kayna limon suyunu ekle, bir-iki taşıma kaynat.	Kaynayınca limon suyunu ekleyip karıştırın ve bir-iki taşım kaynatın.
bio_1278	Savarona, geniş kabul salonu, lüks kamara, jimnastik salonu, kütüphane, müzik salonu adeta bir saray idi.	Savarona, geniş kabul salonları, lüks kamaraları, jimnastik salonu,, kütüphanesi, müzik salonuyla adeta bir yüzer saraydı.
ins_1167	Okuduğumuz bir istek, bir ihtiyaç karşılığı ol.	Okuma, bir isteğin, bir ihtiyacın karşılığı olmalıdır.
pop_508	Domatesleri iyice pişirin.	Domatesler iyice eriyene kadar pişirin.
pop_1410	Piş süre: 20 dk.	PİŞME SÜRESİ: 20 dk
pop_674	1 yemek kaşığı un.	1 yemek kaşığı un
bio_1599	Bu süre boyunca hep sigara içtim.	Bu süre boyunca hep sigara içmiştim.
bio_1628	En az yarım saat uğraştıktan sonra hastane santralı açtı.	En az yarım saat uğraştıktan sonra hastane santrali açıldı.
news_1414	Bnet genel müdürü Hakan Ak da, "kısa vadeli internet servis sağlayıcılık alan öncü ol, uzun vadeli Telekom liberalizasyon sonrası alternatif telekom operatör ol faaliyet sür hedefle" de.	Bnet Genel Müdürü Hakan Akan da, "Kısa vadede internet servis sağlayıcılığı alanının öncüsü olmayı, uzun vadede telekom liberalizasyonu sonrasında alternatif telekom operatörü olarak faaliyetlerimizi sürdürmeyi hedefliyoruz" dedi.
ess_521	Gene Stockholm'da bir alan, bir kavşak açmak gerek.	Gene Stockholm'de, bir alanın, bir kavşağın açılması gerekmiş.
bio_1811	Allah Allah! Çat belâ! En yumuşak ses tonu:	Allah Allah! Çatmışız belâya! En yumuşak ses tonumla:
bio_1542	Amca ve iki hata da bizde kal.	Amcam ve iki hatam da bizde kalıyorlar.
bio_1798	Yine o anlamı bilmediğim duyguyla uyandım.	Yine o anlamını bilemediğim duygu ile uyanıvermiştim.
pop_49	Ama obur bir kadın vardı, hiçbir şey doymuyordu, bilen bir nefisi vardı.	Ama eşi obur bir kadındı, hiçbir şeye doymak bilmeyen bir nefsi vardı.
ess_1565	Kendi yapar, kendi tapar. "Ben kendi içinde konuş, ama kimse istemez."	Putunu kendi yapar kendi tapar. " Ben kendimle konuşuyorum ama kimseyle konuşmak istemediğim için yapıyorum bunu.
ess_1368	Sonunda başhekim odasına girdi.	Sonunda başhekim odasına girdi.
ins_1902	Fakat salonun ışığı yanmadı.	Fakat salonun ışıkları yanmamıştı.
pop_780	2 su bardağı köftelik ince bulgur.	2 su bardağı köftelik ince bulgur
news_1513	" Doydunuz mu yer ne oldu? "	"Doyduğunuz yer" ne oldu?
ess_707	Hrant Dink'in cenaze sonrası kuzu kuzu oturup bizim seyretmemizi mi beklediler?	Hrant Dink'in cenazesinden sonra kuzu kuzu oturup bizi seyredeceklerini mi bekliyorduk?
ins_526	Hangi durumda insanlar eğleniyor?	* İnsanlar hangi durumlarda eğlenirler?
pop_211	"Lan bokingen akıllı ol oğul!"	"Lan bokingen akıllı ol oğlum!.."
pop_1145	Soğan ve sarımsak yemekliğini doğrayın.	Soğanı ve sarımsağı yemeklik doğrayın.
